DNI;Nombre;1r Apellido;2n Apellido;Correo;Clase:Telefono;Contraseña 
16977586K;Hugo;Álvarez;Gómez;Hugo@gmail.com;5;636412153;1234 
95566362M;Carlos;Jimenez;Cruz;Carlos@gmail.com;5;652693926;1234 
22648944Q;David;Gómez;Fernández;David@gmail.com;3;647695444;1234 
14841385Z;Héctor;Álvarez;Fernández;Héctor@gmail.com;4;678761978;1234 
82755225Y;Guillem;Jimenez;Martínez;Guillem@gmail.com;2;679672391;1234 
27472486K;Raúl;Ruiz;García;Raúl@gmail.com;3;631945713;1234 
34367215V;Wilson;Ruiz;Sánchez;Wilson@gmail.com;1;625997525;1234 
48558345D;Jin;Gómez;Martínez;Jin@gmail.com;2;652862954;1234 
16977586K;Hugo;Álvarez;Gómez;Hugo@gmail.com;5;636412153;1234 
95566362M;Carlos;Jimenez;Cruz;Carlos@gmail.com;5;652693926;1234 
22648944Q;David;Gómez;Fernández;David@gmail.com;3;647695444;1234 
14841385Z;Héctor;Álvarez;Fernández;Héctor@gmail.com;4;678761978;1234 
82755225Y;Guillem;Jimenez;Martínez;Guillem@gmail.com;2;679672391;1234 
27472486K;Raúl;Ruiz;García;Raúl@gmail.com;3;631945713;1234 
34367215V;Wilson;Ruiz;Sánchez;Wilson@gmail.com;1;625997525;1234 
48558345D;Jin;Gómez;Martínez;Jin@gmail.com;2;652862954;1234 
16977586K;Pepe;Álvarez;Gómez;Hugo@gmail.com;1;636412153;1234 
95566362M;Carlos;Jimenez;Cruz;Carlos@gmail.com;5;652693926;1234 
22648944Q;David;Gómez;Fernández;David@gmail.com;3;647695444;1234 
14841385Z;Héctor;Álvarez;Fernández;Héctor@gmail.com;4;678761978;1234 
82755225Y;Guillem;Jimenez;Martínez;Guillem@gmail.com;2;679672391;1234 
27472486K;Raúl;Ruiz;García;Raúl@gmail.com;3;631945713;1234 
34367215V;Wilson;Ruiz;Sánchez;Wilson@gmail.com;1;625997525;1234 
48558345D;Jin;Gómez;Martínez;Jin@gmail.com;2;652862954;1234 
veverv;Pepe;Sánchez;Ruiz;Juan@gmail.com;3;99988877;1231 
46496061D;Pepelu;Sánchez;Ruiz;Juan@gmail.com;3;999888777;1234 
46496061D;Pepe;Sánchez;Ruiz;Juan@gmail.com;3;999888777;12345 
46496061D;Pepelu;Sánchez;Ruiz;Juan@gmail.com;3;999888777;21331 
edqdq23;Pepe;Sánchez;Ruiz;Juan@gmail.com;3;999888777;1231 
49494256G;Paco;Perez;Hola;paco@gmail.com;3;661234455;1234 
46496061D;Jose;Sánchez;Ruiz;Juan@gmail.com;3;999888777;1234 
16977586K;Pepe;Álvarez;Gómez;Hugo@gmail.com;1;636412153;1234 
95566362M;Carlos;Jimenez;Cruz;Carlos@gmail.com;5;652693926;1234 
22648944Q;David;Gómez;Fernández;David@gmail.com;3;647695444;1234 
14841385Z;Héctor;Álvarez;Fernández;Héctor@gmail.com;4;678761978;1234 
82755225Y;Guillem;Jimenez;Martínez;Guillem@gmail.com;2;679672391;1234 
27472486K;Raúl;Ruiz;García;Raúl@gmail.com;3;631945713;1234 
34367215V;Wilson;Ruiz;Sánchez;Wilson@gmail.com;1;625997525;1234 
48558345D;Jin;Gómez;Martínez;Jin@gmail.com;2;652862954;1234 
veverv;Pepe;Sánchez;Ruiz;Juan@gmail.com;3;99988877;1231 
46496061D;Pepelu;Sánchez;Ruiz;Juan@gmail.com;3;999888777;1234 
46496061D;Pepe;Sánchez;Ruiz;Juan@gmail.com;3;999888777;12345 
46496061D;Pepelu;Sánchez;Ruiz;Juan@gmail.com;3;999888777;21331 
edqdq23;Pepe;Sánchez;Ruiz;Juan@gmail.com;3;999888777;1231 
49494256G;Paco;Perez;Hola;paco@gmail.com;3;661234455;1234 
46496061D;Jose;Sánchez;Ruiz;Juan@gmail.com;3;999888777;1234 
43234565J;Paco;Perez;hola;paco@gmail.com;1;666023567;1234 
